Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.ScapulaClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularAxialRotation
 1.956000000000000e+001,-2.789874542433227e-001,-3.286561586055758e-001,-3.490606863092021e-001
 1.957000000000000e+001,-2.790843765554370e-001,-3.291529017038066e-001,-3.490607084031568e-001
 1.958000000000000e+001,-2.791791732354018e-001,-3.296583265661131e-001,-3.490607354518419e-001
 1.959000000000000e+001,-2.792633048472061e-001,-3.301695440965720e-001,-3.490607672867879e-001
 1.960000000000000e+001,-2.793210776657282e-001,-3.306847966132436e-001,-3.490608035336159e-001
 1.961000000000000e+001,-2.793325786305080e-001,-3.312036839423496e-001,-3.490608436198148e-001
 1.962000000000000e+001,-2.792797209916064e-001,-3.317281335001097e-001,-3.490608867271892e-001
 1.963000000000000e+001,-2.791515771264429e-001,-3.322615970516740e-001,-3.490609318367184e-001
 1.964000000000000e+001,-2.789443756258098e-001,-3.328055720529277e-001,-3.490609777991596e-001
 1.965000000000000e+001,-2.786584392957878e-001,-3.333566054212473e-001,-3.490610233754216e-001
 1.966000000000000e+001,-2.782999628263946e-001,-3.339068315771232e-001,-3.490610673599148e-001
 1.967000000000000e+001,-2.778878847306950e-001,-3.344460205595046e-001,-3.490611087803990e-001
 1.968000000000000e+001,-2.774545215837238e-001,-3.349632972324474e-001,-3.490611469977703e-001
 1.969000000000000e+001,-2.770326426894615e-001,-3.354503656560985e-001,-3.490611816854474e-001
 1.970000000000000e+001,-2.766388975833162e-001,-3.359049311580740e-001,-3.490612127826296e-001
 1.971000000000000e+001,-2.762687602834847e-001,-3.363302074663157e-001,-3.490612404175680e-001
 1.972000000000000e+001,-2.759025993410051e-001,-3.367314528133165e-001,-3.490612647916258e-001
 1.973000000000000e+001,-2.755117543016027e-001,-3.371131152313900e-001,-3.490612860480829e-001
 1.974000000000000e+001,-2.750617194688313e-001,-3.374770929338573e-001,-3.490613041475090e-001
 1.975000000000000e+001,-2.745181981566362e-001,-3.378224193084138e-001,-3.490613188559177e-001
 1.976000000000000e+001,-2.738588954526751e-001,-3.381478259151938e-001,-3.490613299710143e-001
 1.977000000000000e+001,-2.730850747796551e-001,-3.384553540693547e-001,-3.490613376802312e-001
 1.978000000000000e+001,-2.722231729494471e-001,-3.387509009103427e-001,-3.490613427326167e-001
 1.979000000000000e+001,-2.713155997897381e-001,-3.390418315964858e-001,-3.490613462934619e-001
 1.980000000000000e+001,-2.704098277172994e-001,-3.393360919032595e-001,-3.490613496900673e-001
 1.981000000000000e+001,-2.695515087231579e-001,-3.396442077372270e-001,-3.490613542440593e-001
 1.982000000000000e+001,-2.687796260134064e-001,-3.399801862551228e-001,-3.490613611429347e-001
 1.983000000000000e+001,-2.681216977516037e-001,-3.403586709274875e-001,-3.490613712557751e-001
 1.984000000000000e+001,-2.675898401590040e-001,-3.407904829644970e-001,-3.490613849473919e-001
 1.985000000000000e+001,-2.671790407540121e-001,-3.412793913937224e-001,-3.490614020263408e-001
 1.986000000000000e+001,-2.668686837404142e-001,-3.418207845541419e-001,-3.490614218596728e-001
 1.987000000000000e+001,-2.666275617427195e-001,-3.424019032627192e-001,-3.490614435805832e-001
 1.988000000000000e+001,-2.664210129469437e-001,-3.430043082962424e-001,-3.490614663258332e-001
 1.989000000000000e+001,-2.662172680558937e-001,-3.436089008823440e-001,-3.490614894178566e-001
 1.990000000000000e+001,-2.659912832768722e-001,-3.442003910717537e-001,-3.490615124077502e-001
 1.991000000000000e+001,-2.657269939163865e-001,-3.447672041740300e-001,-3.490615350240482e-001
 1.992000000000000e+001,-2.654179241303044e-001,-3.452976025927130e-001,-3.490615571280832e-001
 1.993000000000000e+001,-2.650643656890121e-001,-3.457769472079519e-001,-3.490615787054479e-001
 1.994000000000000e+001,-2.646679911805868e-001,-3.461892522015351e-001,-3.490615998380777e-001
 1.995000000000000e+001,-2.642276006865121e-001,-3.465218956874483e-001,-3.490616205812928e-001
 1.996000000000000e+001,-2.637380331267374e-001,-3.467699166781126e-001,-3.490616407919868e-001
 1.997000000000000e+001,-2.631915393752313e-001,-3.469373999726957e-001,-3.490616600438567e-001
 1.998000000000000e+001,-2.625816257808961e-001,-3.470337241416373e-001,-3.490616777789699e-001
 1.999000000000000e+001,-2.638794671500191e-001,-3.390716148711817e-001,-3.490620153995671e-001
 2.000000000000000e+001,-2.658572076385291e-001,-3.289743255033033e-001,-3.490624963188787e-001
 2.001000000000000e+001,-2.651129541403997e-001,-3.290858959567395e-001,-3.490625051204851e-001
 2.002000000000000e+001,-2.643524363056166e-001,-3.291602158416453e-001,-3.490625113132548e-001
 2.003000000000000e+001,-2.636060345337647e-001,-3.292059633560784e-001,-3.490625178907622e-001
 2.004000000000000e+001,-2.628830622131234e-001,-3.292306778872967e-001,-3.490625248094889e-001
 2.005000000000000e+001,-2.621992009161180e-001,-3.292408921829009e-001,-3.490625330354811e-001
 2.006000000000000e+001,-2.615787174301341e-001,-3.292424444912458e-001,-3.490625437741476e-001
 2.007000000000000e+001,-2.610574022258945e-001,-3.292414897465983e-001,-3.490625584288131e-001
 2.008000000000000e+001,-2.606824956766429e-001,-3.292452981528624e-001,-3.490625785467185e-001
 2.009000000000000e+001,-2.605107256781254e-001,-3.292639055014164e-001,-3.490626057562233e-001
 2.010000000000000e+001,-2.606026709047364e-001,-3.293106384601365e-001,-3.490626416008931e-001
 2.011000000000000e+001,-2.610117066722847e-001,-3.293990583350701e-001,-3.490626872693448e-001
 2.012000000000000e+001,-2.617698716070130e-001,-3.295381580194055e-001,-3.490627433249059e-001
 2.013000000000000e+001,-2.628740860797981e-001,-3.297286715687422e-001,-3.490628093777258e-001
 2.014000000000000e+001,-2.642786741562736e-001,-3.299618326987759e-001,-3.490628837751180e-001
 2.015000000000000e+001,-2.659040256153284e-001,-3.302226484439608e-001,-3.490629637859100e-001
 2.016000000000000e+001,-2.676588722765126e-001,-3.304969283244423e-001,-3.490630463415084e-001
 2.017000000000000e+001,-2.694561616064559e-001,-3.307758793143598e-001,-3.490631286262141e-001
 2.018000000000000e+001,-2.712101999406044e-001,-3.310536377377553e-001,-3.490632080297952e-001
 2.019000000000000e+001,-2.728250220734067e-001,-3.313204682660493e-001,-3.490632817388731e-001
